year_month,var_mes_pct,index_jan2018_100,deflator
2018-01-01,1.12,100,1
2018-02-01,-0.61,99.39,0.9939
2018-03-01,-0.18,99.211098,0.99211098
2018-04-01,0.27,99.4789679646,0.994789679646
2018-05-01,0.36,99.8370922492725,0.998370922492725
2018-06-01,3.09,102.922058399775,1.02922058399775
2018-07-01,-0.59,102.314818255216,1.02314818255216
2018-08-01,-0.72,101.578151563779,1.01578151563779
2018-09-01,0,101.578151563779,1.01578151563779
2018-10-01,0.91,102.502512743009,1.02502512743009
2018-11-01,0.34,102.851021286335,1.02851021286335
2018-12-01,0.5,103.365276392767,1.03365276392767
2019-01-01,0.97,104.367919573777,1.04367919573777
2019-02-01,1.24,105.662081776492,1.05662081776492
2019-03-01,2.07,107.849286869265,1.07849286869265
2019-04-01,0.62,108.517952447855,1.08517952447855
2019-05-01,-0.89,107.552142671069,1.07552142671069
2019-06-01,-0.39,107.132689314652,1.07132689314652
2019-07-01,-0.06,107.068409701063,1.07068409701063
2019-08-01,-0.84,106.169035059574,1.06169035059574
2019-09-01,-0.7,105.425851814157,1.05425851814157
2019-10-01,-0.03,105.394224058613,1.05394224058613
2019-11-01,1.01,106.458705721605,1.06458705721605
2019-12-01,4.69,111.451619019948,1.11451619019948
2020-01-01,0.2,111.674522257988,1.11674522257988
2020-02-01,0.06,111.741526971343,1.11741526971343
2020-03-01,1.4,113.305908348941,1.13305908348941
2020-04-01,2.24,115.843960695958,1.15843960695958
2020-05-01,0.33,116.226245766254,1.16226245766254
2020-06-01,0.45,116.749263872202,1.16749263872202
2020-07-01,0.14,116.912712841623,1.16912712841623
2020-08-01,1.15,118.257209039302,1.18257209039302
2020-09-01,2.89,121.674842380538,1.21674842380538
2020-10-01,2.57,124.801885829718,1.24801885829718
2020-11-01,3.33,128.957788627847,1.28957788627847
2020-12-01,2.12,131.691693746758,1.31691693746758
2021-01-01,1.06,133.087625700473,1.33087625700473
2021-02-01,0.28,133.460271052435,1.33460271052435
2021-03-01,-0.17,133.233388591646,1.33233388591646
2021-04-01,0.47,133.859585518026,1.33859585518026
2021-05-01,0.23,134.167462564718,1.34167462564718
2021-06-01,0.33,134.610215191181,1.34610215191181
2021-07-01,0.78,135.660174869673,1.35660174869673
2021-08-01,1.63,137.871435720048,1.37871435720048
2021-09-01,1.19,139.512105805117,1.39512105805117
2021-10-01,1.32,141.353665601744,1.41353665601744
2021-11-01,0.04,141.410207067985,1.41410207067985
2021-12-01,0.79,142.527347703822,1.42527347703822
2022-01-01,1.44,144.579741510757,1.44579741510757
2022-02-01,1.65,146.965307245685,1.46965307245685
2022-03-01,3.09,151.506535239576,1.51506535239576
2022-04-01,2.59,155.430554502281,1.55430554502281
2022-05-01,0.43,156.098905886641,1.56098905886641
2022-06-01,0.63,157.082328993727,1.57082328993727
2022-07-01,1.47,159.391439229935,1.59391439229935
2022-08-01,0.01,159.407378373858,1.59407378373858
2022-09-01,-0.86,158.036474919843,1.58036474919843
2022-10-01,0.8,159.300766719201,1.59300766719201
2022-11-01,0.58,160.224711166173,1.60224711166173
2022-12-01,0.71,161.362306615453,1.61362306615453
2023-01-01,0.6,162.330480455145,1.62330480455145
2023-02-01,0.04,162.395412647327,1.62395412647327
2023-03-01,-0.14,162.168059069621,1.62168059069621
2023-04-01,0.73,163.351885900829,1.63351885900829
2023-05-01,0,163.351885900829,1.63351885900829
2023-06-01,-1.07,161.60402072169,1.6160402072169
2023-07-01,-0.72,160.440471772494,1.60440471772494
2023-08-01,-1.26,158.418921828161,1.58418921828161
2023-09-01,-1.02,156.803048825514,1.56803048825514
2023-10-01,0.27,157.226417057342,1.57226417057342
2023-11-01,0.75,158.405615185273,1.58405615185273
2023-12-01,1.34,160.528250428755,1.60528250428755
2024-01-01,1.81,163.433811761516,1.63433811761516
2024-02-01,1.12,165.264270453245,1.65264270453245
2024-03-01,0.59,166.239329648919,1.66239329648919
2024-04-01,0.81,167.585868219075,1.67585868219075
2024-05-01,0.66,168.691934949321,1.68691934949321
2024-06-01,0.47,169.484787043583,1.69484787043583
2024-07-01,-1.51,166.925566759225,1.66925566759225
2024-08-01,-0.73,165.707010121882,1.65707010121882
2024-09-01,0.56,166.634969378565,1.66634969378565
2024-10-01,1.22,168.667916004983,1.68667916004983
2024-11-01,1.81,171.720805284674,1.71720805284674
2024-12-01,1.17,173.729938706504,1.73729938706504
2025-01-01,1.07,175.588849050664,1.75588849050664
2025-02-01,0.79,176.976000958164,1.76976000958164
2025-03-01,1.31,179.294386570716,1.79294386570716
2025-04-01,0.83,180.782529979253,1.80782529979253
2025-05-01,0.02,180.818686485249,1.80818686485249
2025-06-01,-0.43,180.041166133362,1.80041166133362
2025-07-01,-0.69,178.798882087042,1.78798882087042
2025-08-01,-0.83,177.31485136572,1.7731485136572
2025-09-01,-0.41,176.58786047512,1.7658786047512
2025-10-01,-0.16,176.30531989836,1.7630531989836
2025-11-01,-0.2,175.952709258563,1.75952709258563
2025-12-01,0.14,176.199043051525,1.76199043051525
