"category","horizon","shock","crisis","beta","se","t_stat","p_value","n_obs","ci_lo","ci_hi"
"Trigger (S-climate)",0,"S_wind_gust_max","all",0.0110410973991977,0.013918679812827,0.793257517787182,0.440865359258638,43407,-0.0162395150339432,0.0383217098323386
"Trigger (S-climate)",1,"S_wind_gust_max","all",0.00605621629862801,0.0203337731600196,0.297840260681957,0.770199258343639,43392,-0.0337979790950103,0.0459104116922664
"Trigger (S-climate)",2,"S_wind_gust_max","all",-0.00391416889542973,0.0207362385228076,-0.188759831785527,0.852990014317456,43377,-0.0445571964001326,0.0367288586092731
"Trigger (S-climate)",3,"S_wind_gust_max","all",-0.00579053499719066,0.0211786082554601,-0.273414330504829,0.788526887343214,43362,-0.0473006071778924,0.0357195371835111
"Trigger (S-climate)",4,"S_wind_gust_max","all",0.000473807238122902,0.0242269797943813,0.0195570080193317,0.984672754608803,43347,-0.0470110731588644,0.0479586876351102
"Trigger (S-climate)",5,"S_wind_gust_max","all",0.000263904366711418,0.0215216575437067,0.0122622695847416,0.990389398790479,43332,-0.0419185444189537,0.0424463531523766
"Trigger (S-climate)",6,"S_wind_gust_max","all",-0.011279538391472,0.0168233224425242,-0.670470320592606,0.513467044892678,43317,-0.0442532503788193,0.0216941735958754
"Trigger (S-climate)",7,"S_wind_gust_max","all",0.0106998794914387,0.0146423983934419,0.730746371184041,0.476986347926615,43302,-0.0179992213597075,0.0393989803425849
"Trigger (S-climate)",8,"S_wind_gust_max","all",0.00445081618219592,0.0218301635852837,0.203883775987659,0.841378272386408,43287,-0.0383363044449601,0.0472379368093519
"Trigger (S-climate)",9,"S_wind_gust_max","all",0.00157971545521538,0.0248184773499917,0.0636507805429855,0.950148180788952,43272,-0.0470645001507684,0.0502239310611992
"Trigger (S-climate)",10,"S_wind_gust_max","all",-0.0179897724924233,0.0253821035000264,-0.708758141042351,0.490109183454216,43257,-0.0677386953524751,0.0317591503676285
"Trigger (S-climate)",11,"S_wind_gust_max","all",-0.0176981592093764,0.0270863370657207,-0.653398027442198,0.524086510575211,43242,-0.070787379858189,0.0353910614394362
"Trigger (S-climate)",12,"S_wind_gust_max","all",-0.0249742848525299,0.0280249518797374,-0.891144611405626,0.387910657584077,43227,-0.0799031905368152,0.0299546208317553
"Trigger (S-climate)",13,"S_wind_gust_max","all",-0.0335012020574676,0.0173767079737574,-1.92793721964262,0.0743971112185418,43212,-0.067559549686032,0.000557145571096831
"Trigger (S-climate)",14,"S_wind_gust_max","all",-0.011949722587766,0.0167390070882588,-0.713884791658154,0.487030376305061,43197,-0.0447581764807534,0.0208587313052213
