"category","horizon","shock","crisis","beta","se","t_stat","p_value","n_obs","ci_lo","ci_hi"
"Mobilization (O-mobility)",0,"O_mobil_dist_0","all",0.0532346857667126,0.0246438438319308,2.16016162615577,0.0500189294480767,14756,0.00493275185612817,0.101536619677297
"Mobilization (O-mobility)",1,"O_mobil_dist_0","all",0.0313107574563865,0.0397535462839835,0.787621744050578,0.445041841435779,14742,-0.0466061932602212,0.109227708172994
"Mobilization (O-mobility)",2,"O_mobil_dist_0","all",0.0667111879477812,0.0343388144577226,1.94273416252955,0.074026371895539,14728,-0.000592888389355076,0.134015264284918
"Mobilization (O-mobility)",3,"O_mobil_dist_0","all",0.0191521708619139,0.0310126842925912,0.617559276108496,0.547531649978859,14714,-0.0416326903515647,0.0799370320753926
"Mobilization (O-mobility)",4,"O_mobil_dist_0","all",-0.0491047911178141,0.0378683258443039,-1.29672463788627,0.217270632324971,14700,-0.12332670977265,0.0251171275370215
"Mobilization (O-mobility)",5,"O_mobil_dist_0","all",-0.139421215749717,0.0684739334415587,-2.03612102799251,0.0626435166067292,14686,-0.273630125295172,-0.00521230620426205
"Mobilization (O-mobility)",6,"O_mobil_dist_0","all",-0.00143753509135728,0.0343758933330999,-0.0418181158938232,0.967279148858234,14672,-0.0688142860242331,0.0659392158415186
"Mobilization (O-mobility)",7,"O_mobil_dist_0","all",0.0529264504309301,0.0209495838896649,2.52637239525509,0.0252977086634621,14658,0.0118652660071869,0.0939876348546732
"Mobilization (O-mobility)",8,"O_mobil_dist_0","all",0.0568744982340428,0.0341290136871648,1.66645595900804,0.119520551390737,14644,-0.0100183685928003,0.123767365060886
"Mobilization (O-mobility)",9,"O_mobil_dist_0","all",0.0596756872255189,0.0331506840315904,1.80013441558708,0.0950767762291369,14630,-0.00529965347639832,0.124651027927436
"Mobilization (O-mobility)",10,"O_mobil_dist_0","all",0.0243186413999984,0.0315500512201525,0.770795623446244,0.454609563697926,14616,-0.0375194589915006,0.0861567417914973
"Mobilization (O-mobility)",11,"O_mobil_dist_0","all",-0.0569479499298523,0.0397578353945566,-1.43237048407442,0.175642952117743,14602,-0.134873307303183,0.0209774074434787
"Mobilization (O-mobility)",12,"O_mobil_dist_0","all",-0.145829665170575,0.0679071209961275,-2.14748708281847,0.0511906630817406,14588,-0.278927622322985,-0.0127317080181651
"Mobilization (O-mobility)",13,"O_mobil_dist_0","all",-0.00933178194921335,0.0392751760352234,-0.237600003137969,0.815894935671899,14574,-0.0863111269782512,0.0676475630798245
"Mobilization (O-mobility)",14,"O_mobil_dist_0","all",0.0404190769716314,0.0198101325523636,2.04032339838175,0.0621713718869273,14560,0.00159121716899876,0.0792469367742641
