"category","horizon","shock","beta","se","p_value","n_obs","se_type","ci_lo","ci_hi"
"Anticipation (O-news)",7,"O_news_count",-0.00756046754603538,0.0206670246198755,0.719965806684117,43302,"twoway(city,date)",-0.0480678358009913,0.0329469007089205
"Anticipation (O-news)",8,"O_news_count",-0.0234765694290627,0.013092632497843,0.0945792355005701,43287,"twoway(city,date)",-0.049138129124835,0.00218499026670967
"Anticipation (O-news)",9,"O_news_count",-0.0361993308335498,0.0117538319613059,0.00815314597366223,43272,"twoway(city,date)",-0.0592368414777094,-0.0131618201893902
"Anticipation (O-news)",10,"O_news_count",-0.042275087685893,0.00913984908945106,0.000393047425843389,43257,"twoway(city,date)",-0.0601891919012171,-0.024360983470569
"Anticipation (O-news)",11,"O_news_count",-0.0330131312685885,0.00839292445420455,0.00149976138020018,43242,"twoway(city,date)",-0.0494632631988294,-0.0165629993383475
"Anticipation (O-news)",12,"O_news_count",-0.0268635858306259,0.00815454670466912,0.00532222523648927,43227,"twoway(city,date)",-0.0428464973717773,-0.0108806742894744
"Anticipation (O-news)",13,"O_news_count",-0.0174088542380923,0.00774751978044557,0.041284970505383,43212,"twoway(city,date)",-0.0325939930077656,-0.00222371546841897
"Anticipation (O-news)",14,"O_news_count",0.00102901729826061,0.00997551474595276,0.919303572124625,43197,"twoway(city,date)",-0.0185229916038068,0.020581026200328
"Mobilization (O-mobility)",0,"O_mobil_dist_0",0.0532346857667126,0.0246438438319308,0.0500189294480767,14756,"twoway(city,date)",0.00493275185612817,0.101536619677297
"Mobilization (O-mobility)",1,"O_mobil_dist_0",0.0313107574563865,0.0397535462839835,0.445041841435779,14742,"twoway(city,date)",-0.0466061932602212,0.109227708172994
"Mobilization (O-mobility)",2,"O_mobil_dist_0",0.0667111879477812,0.0343388144577226,0.074026371895539,14728,"twoway(city,date)",-0.000592888389355076,0.134015264284918
"Mobilization (O-mobility)",3,"O_mobil_dist_0",0.0191521708619139,0.0310126842925912,0.547531649978859,14714,"twoway(city,date)",-0.0416326903515647,0.0799370320753926
"Mobilization (O-mobility)",4,"O_mobil_dist_0",-0.0491047911178141,0.0378683258443039,0.217270632324971,14700,"twoway(city,date)",-0.12332670977265,0.0251171275370215
"Mobilization (O-mobility)",5,"O_mobil_dist_0",-0.139421215749717,0.0684739334415587,0.0626435166067292,14686,"twoway(city,date)",-0.273630125295172,-0.00521230620426205
"Mobilization (O-mobility)",6,"O_mobil_dist_0",-0.00143753509135728,0.0343758933330999,0.967279148858234,14672,"twoway(city,date)",-0.0688142860242331,0.0659392158415186
"Mobilization (O-mobility)",7,"O_mobil_dist_0",0.0529264504309301,0.0209495838896649,0.0252977086634621,14658,"twoway(city,date)",0.0118652660071869,0.0939876348546732
"Mobilization (O-mobility)",8,"O_mobil_dist_0",0.0568744982340428,0.0341290136871648,0.119520551390737,14644,"twoway(city,date)",-0.0100183685928003,0.123767365060886
"Mobilization (O-mobility)",9,"O_mobil_dist_0",0.0596756872255189,0.0331506840315904,0.0950767762291369,14630,"twoway(city,date)",-0.00529965347639832,0.124651027927436
"Mobilization (O-mobility)",10,"O_mobil_dist_0",0.0243186413999984,0.0315500512201525,0.454609563697926,14616,"twoway(city,date)",-0.0375194589915006,0.0861567417914973
"Mobilization (O-mobility)",11,"O_mobil_dist_0",-0.0569479499298523,0.0397578353945566,0.175642952117743,14602,"twoway(city,date)",-0.134873307303183,0.0209774074434787
"Mobilization (O-mobility)",12,"O_mobil_dist_0",-0.145829665170575,0.0679071209961275,0.0511906630817406,14588,"twoway(city,date)",-0.278927622322985,-0.0127317080181651
"Mobilization (O-mobility)",13,"O_mobil_dist_0",-0.00933178194921335,0.0392751760352234,0.815894935671899,14574,"twoway(city,date)",-0.0863111269782512,0.0676475630798245
"Mobilization (O-mobility)",14,"O_mobil_dist_0",0.0404190769716314,0.0198101325523636,0.0621713718869273,14560,"twoway(city,date)",0.00159121716899876,0.0792469367742641
"Realization (price)",0,"O_basicfoodbasket_Gtrends",-0.00859791656654903,0.00679515803212391,0.22641807436451,43407,"twoway(city,date)",-0.0219164263095119,0.00472059317641383
"Realization (price)",1,"O_basicfoodbasket_Gtrends",0.00278386622536695,0.0107876974339321,0.800115949392603,43392,"twoway(city,date)",-0.01836002074514,0.0239277531958739
"Realization (price)",2,"O_basicfoodbasket_Gtrends",0.0176240710669939,0.0112021352678737,0.137975728992568,43377,"twoway(city,date)",-0.00433211405803858,0.0395802561920264
"Realization (price)",3,"O_basicfoodbasket_Gtrends",0.0154155075632171,0.0108417597461635,0.176960243338018,43362,"twoway(city,date)",-0.00583434153926343,0.0366653566656977
"Realization (price)",4,"O_basicfoodbasket_Gtrends",0.00978634968316266,0.0102966133445913,0.358007485669776,43347,"twoway(city,date)",-0.0103950124722363,0.0299677118385616
"Realization (price)",5,"O_basicfoodbasket_Gtrends",0.0188497100369028,0.00917465505614199,0.0590842742146217,43332,"twoway(city,date)",0.000867386126864517,0.0368320339469411
"Realization (price)",6,"O_basicfoodbasket_Gtrends",0.0164771260827301,0.00761504097503122,0.0482628948617555,43317,"twoway(city,date)",0.00155164577166895,0.0314026063937913
"Realization (price)",7,"O_basicfoodbasket_Gtrends",0.00488278624502911,0.0071006926231625,0.502907839555411,43302,"twoway(city,date)",-0.00903457129636938,0.0188001437864276
"Realization (price)",8,"O_basicfoodbasket_Gtrends",0.00850208759690009,0.00944463590556018,0.383236121749665,43287,"twoway(city,date)",-0.0100093987779979,0.027013573971798
"Realization (price)",9,"O_basicfoodbasket_Gtrends",0.0229712482151306,0.0112781906753311,0.0610418748461814,43272,"twoway(city,date)",0.000865994491481673,0.0450765019387796
"Realization (price)",10,"O_basicfoodbasket_Gtrends",0.0248020151269592,0.0106365928758733,0.0351636165716739,43257,"twoway(city,date)",0.00395429309024754,0.0456497371636708
"Realization (price)",11,"O_basicfoodbasket_Gtrends",0.0248859888612509,0.0112342651637268,0.0438334506433374,43242,"twoway(city,date)",0.00286682914034648,0.0469051485821554
"Realization (price)",12,"O_basicfoodbasket_Gtrends",0.0270543742014317,0.0116000464108737,0.0351301042082447,43227,"twoway(city,date)",0.00431828323611927,0.0497904651667441
"Realization (price)",13,"O_basicfoodbasket_Gtrends",0.0294362581772038,0.0114297640088269,0.0220050538582138,43212,"twoway(city,date)",0.00703392071990301,0.0518385956345047
"Realization (price)",14,"O_basicfoodbasket_Gtrends",0.0186965410710595,0.0165946351180725,0.278827284438332,43197,"twoway(city,date)",-0.0138289437603627,0.0512220259024817
