"metric","mean","sd","median"
"AUC-PR",0.0293545008510066,0.0162094671773092,0.0250658341216067
"AUC-PR lift",1.29587409079809,0.33138507832562,1.19505929403049
"AUC-ROC",0.528496643808071,0.0532254382257099,0.528345130964591
"F1 (optimal)",0.0433192468033401,0.0214075180663845,0.0378378378378378
"Precision (optimal)",0.027814591502437,0.0236945411289736,0.0219058050383352
"Recall (optimal)",0.159002371133348,0.145566308231525,0.147545219638243
"Brier",0.19301407622348,0.0539456973465036,0.208809445644624
