"fold_id","train_end","test_start","test_end","n_train","n_test","n_pos_train","n_pos_test","scale_pos_w","best_nrounds","base_rate","auc_pr","auc_pr_lift","auc_roc","brier","opt_threshold","precision_opt","recall_opt","f1_opt","f1_05"
1,2019-12-31,2020-01-01,2020-06-30,9600,2730,283,84,32.9222614840989,2000,0.0307692307692308,0.0282675884724102,0.918696625353331,0.414790519382356,0.211832585154759,0.47,0.0256959314775161,0.285714285714286,0.0471512770137525,0.0443349753694581
2,2020-07-01,2020-07-02,2021-01-01,12345,2760,439,103,27.120728929385,2000,0.0373188405797101,0.0658363224973346,1.76415776788974,0.553977220823544,0.205786306134488,0.64,0.09375,0.087378640776699,0.0904522613065327,0.0541149943630214
3,2020-12-31,2021-01-01,2021-06-30,15090,2715,501,70,29.1197604790419,2000,0.0257826887661142,0.0272376013628797,1.05642982428884,0.548417499324872,0.244784770105518,0.51,0.00763358778625954,0.0142857142857143,0.00995024875621891,0.0588853838065195
4,2021-07-01,2021-07-02,2022-01-01,17820,2760,604,86,28.5033112582781,2000,0.0311594202898551,0.0591779192861124,1.89919833987989,0.578183976622428,0.226314136130788,0.5,0.0458015267175573,0.13953488372093,0.0689655172413793,0.0689655172413793
5,2021-12-31,2022-01-01,2022-06-30,20565,2715,727,45,27.2874828060523,2000,0.0165745856353591,0.0215220224731543,1.29849535588031,0.528610070744902,0.203826753174149,0.5,0.024822695035461,0.155555555555556,0.0428134556574924,0.0428134556574924
6,2022-07-01,2022-07-02,2023-01-01,23295,2760,878,34,25.5318906605923,2000,0.0123188405797101,0.0208746422066031,1.69452977912425,0.517511113029218,0.236571074325407,0.5,0.02,0.264705882352941,0.0371900826446281,0.0371900826446281
7,2022-12-31,2023-01-01,2023-06-30,26040,2715,1060,40,23.5660377358491,2000,0.0147329650092081,0.0150902001024615,1.02424733195458,0.514939252336449,0.227364865554584,0.55,0.0227272727272727,0.025,0.0238095238095238,0.0211267605633803
8,2023-07-01,2023-07-02,2024-01-01,28770,2760,1232,38,22.3522727272727,2000,0.013768115942029,0.0171204583184331,1.2434859199704,0.595875710584323,0.135863909367268,0.45,0.0210843373493976,0.184210526315789,0.0378378378378378,0.0307692307692308
9,2023-12-31,2024-01-01,2024-06-30,31515,2730,1367,52,22.054133138259,2000,0.019047619047619,0.0272709615380421,1.43172548074721,0.600103406675475,0.066649436689024,0.39,0.0336134453781513,0.0769230769230769,0.0467836257309941,NA
10,2024-07-01,2024-07-02,2025-01-01,34260,2760,1493,70,21.947086403215,2000,0.0253623188405797,0.0290812633211377,1.14663266809057,0.52808019118428,0.14748210358648,0.5,0,0,NA,NA
11,2024-12-31,2025-01-01,2025-06-30,37005,2715,1596,51,22.1860902255639,2000,0.0187845303867403,0.0178809637531769,0.951898364507356,0.471143938055703,0.166612228436841,0.44,0.0197044334975369,0.156862745098039,0.0350109409190372,0.0261437908496732
12,2025-07-01,2025-07-02,2025-12-31,39735,2742,1675,56,22.7223880597015,2000,0.0204230488694384,0.0228940668803336,1.12099163189062,0.490326826933305,0.243080746022459,0.49,0.0189418680600914,0.517857142857143,0.0365469439193447,0.0461095100864553
