date;city;Pandemic_severity_index
13/01/2018;Rio Negrinho;
13/01/2018;Campos Novos;
13/01/2018;Itapoá;
13/01/2018;Joaçaba;
14/01/2018;Florianópolis;
14/01/2018;Itajaí;
14/01/2018;Chapecó;
14/01/2018;Lages;
14/01/2018;Caçador;
14/01/2018;Araranguá;
14/01/2018;Indaial;
14/01/2018;Xanxerê;
14/01/2018;São Miguel do Oeste;
14/01/2018;Laguna;
14/01/2018;Curitibanos;
14/01/2018;Rio Negrinho;
14/01/2018;Campos Novos;
14/01/2018;Itapoá;
14/01/2018;Joaçaba;
15/01/2018;Florianópolis;
15/01/2018;Itajaí;
15/01/2018;Chapecó;
15/01/2018;Lages;
15/01/2018;Caçador;
15/01/2018;Araranguá;
15/01/2018;Indaial;
15/01/2018;Xanxerê;
15/01/2018;São Miguel do Oeste;
15/01/2018;Laguna;
15/01/2018;Curitibanos;
15/01/2018;Rio Negrinho;
15/01/2018;Campos Novos;
15/01/2018;Itapoá;
15/01/2018;Joaçaba;
16/01/2018;Florianópolis;
16/01/2018;Itajaí;
16/01/2018;Chapecó;
16/01/2018;Lages;
16/01/2018;Caçador;
16/01/2018;Araranguá;
16/01/2018;Indaial;
16/01/2018;Xanxerê;
16/01/2018;São Miguel do Oeste;
16/01/2018;Laguna;
16/01/2018;Curitibanos;
16/01/2018;Rio Negrinho;
16/01/2018;Campos Novos;
16/01/2018;Itapoá;
16/01/2018;Joaçaba;
17/01/2018;Florianópolis;
17/01/2018;Itajaí;
17/01/2018;Chapecó;
17/01/2018;Lages;
17/01/2018;Caçador;
17/01/2018;Araranguá;
17/01/2018;Indaial;
17/01/2018;Xanxerê;
17/01/2018;São Miguel do Oeste;
17/01/2018;Laguna;
17/01/2018;Curitibanos;
17/01/2018;Rio Negrinho;
17/01/2018;Campos Novos;
17/01/2018;Itapoá;
17/01/2018;Joaçaba;
18/01/2018;Florianópolis;
18/01/2018;Itajaí;
18/01/2018;Chapecó;
18/01/2018;Lages;
18/01/2018;Caçador;
18/01/2018;Araranguá;
18/01/2018;Indaial;
18/01/2018;Xanxerê;
18/01/2018;São Miguel do Oeste;
18/01/2018;Laguna;
18/01/2018;Curitibanos;
18/01/2018;Rio Negrinho;
18/01/2018;Campos Novos;
18/01/2018;Itapoá;
18/01/2018;Joaçaba;
19/01/2018;Florianópolis;
19/01/2018;Itajaí;
19/01/2018;Chapecó;
19/01/2018;Lages;
19/01/2018;Caçador;
19/01/2018;Araranguá;
19/01/2018;Indaial;
19/01/2018;Xanxerê;
19/01/2018;São Miguel do Oeste;
19/01/2018;Laguna;
19/01/2018;Curitibanos;
19/01/2018;Rio Negrinho;
19/01/2018;Campos Novos;
19/01/2018;Itapoá;
19/01/2018;Joaçaba;
20/01/2018;Florianópolis;
20/01/2018;Itajaí;
20/01/2018;Chapecó;
20/01/2018;Lages;
20/01/2018;Caçador;
20/01/2018;Araranguá;
20/01/2018;Indaial;
20/01/2018;Xanxerê;
20/01/2018;São Miguel do Oeste;
20/01/2018;Laguna;
20/01/2018;Curitibanos;
20/01/2018;Rio Negrinho;
20/01/2018;Campos Novos;
20/01/2018;Itapoá;
20/01/2018;Joaçaba;
21/01/2018;Florianópolis;
21/01/2018;Itajaí;
21/01/2018;Chapecó;
21/01/2018;Lages;
21/01/2018;Caçador;
21/01/2018;Araranguá;
21/01/2018;Indaial;
21/01/2018;Xanxerê;
21/01/2018;São Miguel do Oeste;
21/01/2018;Laguna;
21/01/2018;Curitibanos;
21/01/2018;Rio Negrinho;
21/01/2018;Campos Novos;
21/01/2018;Itapoá;
21/01/2018;Joaçaba;
22/01/2018;Florianópolis;
22/01/2018;Itajaí;
22/01/2018;Chapecó;
22/01/2018;Lages;
22/01/2018;Caçador;
22/01/2018;Araranguá;
22/01/2018;Indaial;
22/01/2018;Xanxerê;
22/01/2018;São Miguel do Oeste;
22/01/2018;Laguna;
22/01/2018;Curitibanos;
22/01/2018;Rio Negrinho;
22/01/2018;Campos Novos;
22/01/2018;Itapoá;
22/01/2018;Joaçaba;
23/01/2018;Florianópolis;
23/01/2018;Itajaí;
23/01/2018;Chapecó;
23/01/2018;Lages;
23/01/2018;Caçador;
23/01/2018;Araranguá;
23/01/2018;Indaial;
23/01/2018;Xanxerê;
23/01/2018;São Miguel do Oeste;
23/01/2018;Laguna;
23/01/2018;Curitibanos;
23/01/2018;Rio Negrinho;
23/01/2018;Campos Novos;
23/01/2018;Itapoá;
23/01/2018;Joaçaba;
24/01/2018;Florianópolis;
24/01/2018;Itajaí;
24/01/2018;Chapecó;
24/01/2018;Lages;
24/01/2018;Caçador;
24/01/2018;Araranguá;
24/01/2018;Indaial;
24/01/2018;Xanxerê;
24/01/2018;São Miguel do Oeste;
24/01/2018;Laguna;
24/01/2018;Curitibanos;
24/01/2018;Rio Negrinho;
24/01/2018;Campos Novos;
24/01/2018;Itapoá;
24/01/2018;Joaçaba;
25/01/2018;Florianópolis;
25/01/2018;Itajaí;
25/01/2018;Chapecó;
25/01/2018;Lages;
25/01/2018;Caçador;
25/01/2018;Araranguá;
25/01/2018;Indaial;
25/01/2018;Xanxerê;
25/01/2018;São Miguel do Oeste;
25/01/2018;Laguna;
25/01/2018;Curitibanos;
25/01/2018;Rio Negrinho;
25/01/2018;Campos Novos;
25/01/2018;Itapoá;
25/01/2018;Joaçaba;
