"model","R2_regression","AUC_PR","AUC_PR_lift","AUC_ROC","opt_threshold","F1_at_opt","precision_at_opt","recall_at_opt","alarm_rate_at_opt","F1_at_common","precision_at_common","recall_at_common","detection_own","baseline_own","detection_lift_own","detection_common","baseline_common","detection_lift_common"
"AR-only",0.380432107363874,0.0857370872107562,3.86487264735236,0.73102672077477,0.725,0.154452324665091,0.108347153123273,0.268861454046639,0.055048384151908,0.154452324665091,0.108347153123273,0.268861454046639,0.447587354409318,0.162040510127532,0.285546844281786,0.447587354409318,0.162040510127532,0.285546844281786
"External-only",-0.0994498032459874,0.0275178894124464,1.24045662808205,0.542855062658173,0.125,0.0519767763339784,0.0325484764542936,0.128943758573388,0.0878826608240521,0.00997506234413965,0.0547945205479452,0.00548696844993141,0.369384359400998,0.45536384096024,-0.0859794815592417,0.043261231281198,0.0202550637659415,0.0230061675152565
"Combined",0.398243713573807,0.0888160226448473,4.00366548169406,0.743476199337314,0.725,0.161877782274383,0.114810562571757,0.274348422496571,0.0530095551092447,0.161877782274383,0.114810562571757,0.274348422496571,0.439267886855241,0.184546136534134,0.254721750321108,0.439267886855241,0.184546136534134,0.254721750321108
