"model","mean_r2","sd_r2","med_r2","mean_rmse","mean_mae"
"AR-only",0.380432107363874,0.142929620182769,0.37277563002209,0.857649741353781,0.56075092325467
"External-only",-0.0994498032459874,0.112721030312984,-0.0752202033585373,1.15131071483721,0.85733480920504
"Combined",0.398243713573807,0.133174008349749,0.385890988057915,0.845432913970773,0.561071220085659
