"metric","mean","sd","median","q025","q975"
"R2",-0.1221888434387,0.122350524181048,-0.119869444076421,-0.348446020294168,0.07613729125466
"RMSE",1.16343739431818,0.102407663878218,1.13865743266462,1.03187347953062,1.31635050260774
"MAE",0.867683033183384,0.096014682045066,0.865230055849705,0.760041495831361,1.01692101100063
