"fold_id","n","n_pos","auc_pr","auc_roc","base_rate","auc_pr_lift"
1,2730,84,0.0817487342901619,0.72287459957528,0.0307692307692308,2.65683386443026
2,2760,103,0.22673442780476,0.775767253380884,0.0373188405797101,6.07560214311784
3,2715,70,0.0919461022993532,0.750731839049419,0.0257826887661142,3.56619525346777
4,2760,86,0.122691609325791,0.744229531578856,0.0311594202898551,3.93754467138586
5,2715,45,0.0666824071456149,0.719034540158136,0.0165745856353591,4.02317189778543
6,2760,34,0.0219001823740635,0.640714686461525,0.0123188405797101,1.77777951036515
7,2715,40,0.0559381211506177,0.665682242990654,0.0147329650092081,3.79679997309817
8,2760,38,0.0698218601029365,0.719304690823311,0.013768115942029,5.07127194431855
9,2730,52,0.110128754977683,0.82336129143448,0.019047619047619,5.78175963632837
10,2760,70,0.178231758731269,0.7864790228359,0.0253623188405797,7.02742362997575
11,2715,51,0.139959801634353,0.799026968144615,0.0187845303867403,7.4508012046523
12,2742,56,0.0808814657467774,0.696667907669397,0.0204230488694384,3.96030319781542
