"threshold_label","threshold","alarm_rate","tp","fp","fn","tn","precision","recall","f1"
"0.5",0.5,0.0996591808167488,291,2984,438,29149,0.0888549618320611,0.39917695473251,0.145354645354645
"1.0",1,0.0268395106810298,133,749,596,31384,0.150793650793651,0.182441700960219,0.165114835505897
"1.5",1.5,0.00782058304424563,50,207,679,31926,0.194552529182879,0.0685871056241427,0.101419878296146
"2.0",2,0.000334733126407401,3,8,726,32125,0.272727272727273,0.00411522633744856,0.00810810810810811
"F1-optimal (0.73)",0.725,0.0530095551092447,200,1542,529,30591,0.114810562571757,0.274348422496571,0.161877782274383
